sample,file1
639354_20171206_S,/639354_20171206_S_promethion.fastq.gz.c4gh
785991_20180321_S,/785991_20180321_S_promethion.fastq.gz.c4gh
825012_20181120_S,/825012_20181120_S_promethion.fastq.gz.c4gh
892355_20180123_S,/892355_20180123_S_promethion.fastq.gz.c4gh
1128691_20171218_S,/1128691_20171218_S_promethion.fastq.gz.c4gh
1565754_20171128_S,/1565754_20171128_S_promethion.fastq.gz.c4gh
1593973_20180504_S,/1593973_20180504_S_promethion.fastq.gz.c4gh
1651490_20171010_S,/1651490_20171010_S_promethion.fastq.gz.c4gh
1651490_20180206_S,/1651490_20180206_S_promethion.fastq.gz.c4gh
1651490_20171215_S,/1651490_20171215_S_promethion.fastq.gz.c4gh
